date,date_id,year,month,day
2017-04-03,20170403,2017,4,3
2017-09-14,20170914,2017,9,14
2017-02-17,20170217,2017,2,17
2017-01-25,20170125,2017,1,25
2018-06-15,20180615,2018,6,15
2017-01-14,20170114,2017,1,14
2018-05-20,20180520,2018,5,20
2017-05-21,20170521,2017,5,21
2018-03-14,20180314,2018,3,14
2018-01-17,20180117,2018,1,17
2018-07-20,20180720,2018,7,20
2017-12-14,20171214,2017,12,14
2018-04-02,20180402,2018,4,2
2018-07-04,20180704,2018,7,4
2017-04-13,20170413,2017,4,13
2018-04-30,20180430,2018,4,30
2017-05-03,20170503,2017,5,3
2017-11-20,20171120,2017,11,20
2017-12-23,20171223,2017,12,23
2017-12-03,20171203,2017,12,3
2017-11-02,20171102,2017,11,2
2017-06-23,20170623,2017,6,23
2018-05-10,20180510,2018,5,10
2017-02-13,20170213,2017,2,13
2017-03-19,20170319,2017,3,19
2017-11-03,20171103,2017,11,3
2018-05-06,20180506,2018,5,6
2018-05-03,20180503,2018,5,3
2018-01-01,20180101,2018,1,1
2017-02-07,20170207,2017,2,7
2017-03-23,20170323,2017,3,23
2017-02-11,20170211,2017,2,11
2018-08-27,20180827,2018,8,27
2017-02-06,20170206,2017,2,6
2018-05-18,20180518,2018,5,18
2017-06-26,20170626,2017,6,26
2018-02-24,20180224,2018,2,24
2018-03-23,20180323,2018,3,23
2018-01-04,20180104,2018,1,4
2017-08-16,20170816,2017,8,16
2018-05-21,20180521,2018,5,21
2018-05-12,20180512,2018,5,12
2018-01-03,20180103,2018,1,3
2017-07-12,20170712,2017,7,12
2018-06-14,20180614,2018,6,14
2018-01-15,20180115,2018,1,15
2017-03-04,20170304,2017,3,4
2017-07-04,20170704,2017,7,4
2018-04-24,20180424,2018,4,24
2018-05-31,20180531,2018,5,31
2017-12-10,20171210,2017,12,10
2017-07-27,20170727,2017,7,27
2018-04-19,20180419,2018,4,19
2018-08-19,20180819,2018,8,19
2018-05-26,20180526,2018,5,26
2017-09-21,20170921,2017,9,21
2018-05-13,20180513,2018,5,13
2018-02-16,20180216,2018,2,16
2017-03-10,20170310,2017,3,10
2017-10-28,20171028,2017,10,28
2017-07-03,20170703,2017,7,3
2018-01-06,20180106,2018,1,6
2018-03-03,20180303,2018,3,3
2017-10-22,20171022,2017,10,22
2018-03-10,20180310,2018,3,10
2018-01-21,20180121,2018,1,21
2018-08-07,20180807,2018,8,7
2017-04-15,20170415,2017,4,15
2017-02-25,20170225,2017,2,25
2017-09-16,20170916,2017,9,16
2017-03-24,20170324,2017,3,24
2017-05-31,20170531,2017,5,31
2017-03-08,20170308,2017,3,8
2017-05-02,20170502,2017,5,2
2017-06-19,20170619,2017,6,19
2017-11-23,20171123,2017,11,23
2018-05-05,20180505,2018,5,5
2018-03-06,20180306,2018,3,6
2017-06-20,20170620,2017,6,20
2017-08-02,20170802,2017,8,2
2018-04-28,20180428,2018,4,28
2018-04-12,20180412,2018,4,12
2018-01-28,20180128,2018,1,28
2018-02-23,20180223,2018,2,23
2017-09-17,20170917,2017,9,17
2018-02-12,20180212,2018,2,12
2017-05-06,20170506,2017,5,6
2017-08-14,20170814,2017,8,14
2017-02-10,20170210,2017,2,10
2018-06-22,20180622,2018,6,22
2018-06-21,20180621,2018,6,21
2017-01-22,20170122,2017,1,22
2018-04-08,20180408,2018,4,8
2018-06-20,20180620,2018,6,20
2017-05-07,20170507,2017,5,7
2018-07-17,20180717,2018,7,17
2017-02-26,20170226,2017,2,26
2018-04-06,20180406,2018,4,6
2018-03-21,20180321,2018,3,21
2017-05-25,20170525,2017,5,25
2017-08-20,20170820,2017,8,20
2017-03-29,20170329,2017,3,29
2017-12-28,20171228,2017,12,28
2018-03-24,20180324,2018,3,24
2017-03-07,20170307,2017,3,7
2017-06-10,20170610,2017,6,10
2017-11-08,20171108,2017,11,8
2017-08-03,20170803,2017,8,3
2017-03-25,20170325,2017,3,25
2018-07-16,20180716,2018,7,16
2017-03-27,20170327,2017,3,27
2017-10-27,20171027,2017,10,27
2017-12-25,20171225,2017,12,25
2017-03-05,20170305,2017,3,5
2018-05-28,20180528,2018,5,28
2017-03-01,20170301,2017,3,1
2017-07-19,20170719,2017,7,19
2017-07-26,20170726,2017,7,26
2018-04-05,20180405,2018,4,5
2017-07-14,20170714,2017,7,14
2017-09-06,20170906,2017,9,6
2017-10-01,20171001,2017,10,1
2017-05-05,20170505,2017,5,5
2018-04-14,20180414,2018,4,14
2018-08-25,20180825,2018,8,25
2017-06-06,20170606,2017,6,6
2017-07-23,20170723,2017,7,23
2017-07-11,20170711,2017,7,11
2018-08-15,20180815,2018,8,15
2017-06-24,20170624,2017,6,24
2018-02-04,20180204,2018,2,4
2018-04-23,20180423,2018,4,23
2017-04-24,20170424,2017,4,24
2017-03-15,20170315,2017,3,15
2017-11-14,20171114,2017,11,14
2017-05-12,20170512,2017,5,12
2018-02-18,20180218,2018,2,18
2018-02-07,20180207,2018,2,7
2018-06-10,20180610,2018,6,10
2017-04-18,20170418,2017,4,18
2017-04-12,20170412,2017,4,12
2017-10-29,20171029,2017,10,29
2017-08-11,20170811,2017,8,11
2017-04-04,20170404,2017,4,4
2017-03-31,20170331,2017,3,31
2018-04-20,20180420,2018,4,20
2017-08-24,20170824,2017,8,24
2017-11-07,20171107,2017,11,7
2017-10-13,20171013,2017,10,13
2017-06-15,20170615,2017,6,15
2017-08-15,20170815,2017,8,15
2018-03-02,20180302,2018,3,2
2017-08-22,20170822,2017,8,22
2017-08-06,20170806,2017,8,6
2018-08-17,20180817,2018,8,17
2017-01-26,20170126,2017,1,26
2018-03-11,20180311,2018,3,11
2017-02-02,20170202,2017,2,2
2018-03-25,20180325,2018,3,25
2017-07-20,20170720,2017,7,20
2017-06-18,20170618,2017,6,18
2017-02-22,20170222,2017,2,22
2017-03-12,20170312,2017,3,12
2018-04-29,20180429,2018,4,29
2018-02-26,20180226,2018,2,26
2017-08-21,20170821,2017,8,21
2017-09-25,20170925,2017,9,25
2017-09-04,20170904,2017,9,4
2017-05-22,20170522,2017,5,22
2017-10-08,20171008,2017,10,8
2017-07-15,20170715,2017,7,15
2017-10-15,20171015,2017,10,15
2018-03-20,20180320,2018,3,20
2017-10-07,20171007,2017,10,7
2017-09-09,20170909,2017,9,9
2017-05-24,20170524,2017,5,24
2017-03-21,20170321,2017,3,21
2017-01-31,20170131,2017,1,31
2018-08-28,20180828,2018,8,28
2017-11-10,20171110,2017,11,10
2017-05-27,20170527,2017,5,27
2018-08-13,20180813,2018,8,13
2017-10-23,20171023,2017,10,23
2017-10-20,20171020,2017,10,20
2018-08-23,20180823,2018,8,23
2017-08-30,20170830,2017,8,30
2017-08-27,20170827,2017,8,27
2017-04-08,20170408,2017,4,8
2017-02-18,20170218,2017,2,18
2018-03-28,20180328,2018,3,28
2017-02-24,20170224,2017,2,24
2017-06-11,20170611,2017,6,11
2017-07-06,20170706,2017,7,6
2018-06-02,20180602,2018,6,2
2017-09-01,20170901,2017,9,1
2018-07-19,20180719,2018,7,19
2017-03-03,20170303,2017,3,3
2018-03-05,20180305,2018,3,5
2018-04-27,20180427,2018,4,27
2017-01-19,20170119,2017,1,19
2017-07-21,20170721,2017,7,21
2017-06-14,20170614,2017,6,14
2017-05-01,20170501,2017,5,1
2017-04-28,20170428,2017,4,28
2017-09-22,20170922,2017,9,22
2017-05-13,20170513,2017,5,13
2017-04-09,20170409,2017,4,9
2018-01-20,20180120,2018,1,20
2018-07-14,20180714,2018,7,14
2018-06-29,20180629,2018,6,29
2017-06-07,20170607,2017,6,7
2017-08-08,20170808,2017,8,8
2017-10-30,20171030,2017,10,30
2017-08-13,20170813,2017,8,13
2018-04-21,20180421,2018,4,21
2017-09-28,20170928,2017,9,28
2017-09-23,20170923,2017,9,23
2016-10-04,20161004,2016,10,4
2017-02-28,20170228,2017,2,28
2017-02-04,20170204,2017,2,4
2017-12-18,20171218,2017,12,18
2017-10-14,20171014,2017,10,14
2017-04-10,20170410,2017,4,10
2017-06-30,20170630,2017,6,30
2016-10-07,20161007,2016,10,7
2017-11-12,20171112,2017,11,12
2017-07-18,20170718,2017,7,18
2017-11-01,20171101,2017,11,1
2017-04-07,20170407,2017,4,7
2018-06-17,20180617,2018,6,17
2017-08-18,20170818,2017,8,18
2017-08-29,20170829,2017,8,29
2017-06-12,20170612,2017,6,12
2017-08-25,20170825,2017,8,25
2018-04-07,20180407,2018,4,7
2017-02-16,20170216,2017,2,16
2017-03-11,20170311,2017,3,11
2017-05-28,20170528,2017,5,28
2017-06-01,20170601,2017,6,1
2017-01-15,20170115,2017,1,15
2017-07-25,20170725,2017,7,25
2017-01-12,20170112,2017,1,12
2017-03-26,20170326,2017,3,26
2018-09-20,20180920,2018,9,20
2018-05-22,20180522,2018,5,22
2017-01-30,20170130,2017,1,30
2018-05-29,20180529,2018,5,29
2017-09-30,20170930,2017,9,30
2017-01-29,20170129,2017,1,29
2017-02-27,20170227,2017,2,27
2017-12-29,20171229,2017,12,29
2017-01-17,20170117,2017,1,17
2018-08-29,20180829,2018,8,29
2017-06-22,20170622,2017,6,22
2017-06-09,20170609,2017,6,9
2017-09-24,20170924,2017,9,24
2017-06-28,20170628,2017,6,28
2017-02-03,20170203,2017,2,3
2017-10-21,20171021,2017,10,21
2017-08-19,20170819,2017,8,19
2017-10-03,20171003,2017,10,3
2018-08-18,20180818,2018,8,18
2017-12-13,20171213,2017,12,13
2017-08-12,20170812,2017,8,12
2018-07-09,20180709,2018,7,9
2017-09-07,20170907,2017,9,7
2018-03-22,20180322,2018,3,22
2017-04-21,20170421,2017,4,21
2017-09-02,20170902,2017,9,2
2017-06-03,20170603,2017,6,3
2017-03-16,20170316,2017,3,16
2018-07-07,20180707,2018,7,7
2017-04-17,20170417,2017,4,17
2017-06-21,20170621,2017,6,21
2018-07-10,20180710,2018,7,10
2017-05-30,20170530,2017,5,30
2017-03-20,20170320,2017,3,20
2017-02-21,20170221,2017,2,21
2017-01-24,20170124,2017,1,24
2018-03-13,20180313,2018,3,13
2017-08-07,20170807,2017,8,7
2017-02-09,20170209,2017,2,9
2017-03-02,20170302,2017,3,2
2017-02-15,20170215,2017,2,15
2017-11-05,20171105,2017,11,5
2017-01-13,20170113,2017,1,13
2017-02-05,20170205,2017,2,5
2018-07-08,20180708,2018,7,8
2017-03-18,20170318,2017,3,18
2017-12-30,20171230,2017,12,30
2017-02-01,20170201,2017,2,1
2017-12-31,20171231,2017,12,31
2017-05-04,20170504,2017,5,4
2017-01-16,20170116,2017,1,16
2017-07-07,20170707,2017,7,7
2017-10-10,20171010,2017,10,10
2017-04-02,20170402,2017,4,2
2017-11-04,20171104,2017,11,4
2017-03-17,20170317,2017,3,17
2017-04-05,20170405,2017,4,5
2016-09-05,20160905,2016,9,5
2016-09-04,20160904,2016,9,4
2016-10-10,20161010,2016,10,10
2017-04-23,20170423,2017,4,23
2018-09-13,20180913,2018,9,13
2016-10-06,20161006,2016,10,6
2017-02-14,20170214,2017,2,14
2017-04-01,20170401,2017,4,1
2016-10-08,20161008,2016,10,8
2017-02-19,20170219,2017,2,19
2017-01-18,20170118,2017,1,18
2016-10-03,20161003,2016,10,3
2017-04-16,20170416,2017,4,16
2016-10-09,20161009,2016,10,9
2017-01-20,20170120,2017,1,20
2017-01-11,20170111,2017,1,11
2018-09-11,20180911,2018,9,11
2016-09-13,20160913,2016,9,13
2017-01-07,20170107,2017,1,7
2017-01-08,20170108,2017,1,8
2018-09-17,20180917,2018,9,17
2018-08-30,20180830,2018,8,30
2018-09-06,20180906,2018,9,6
2017-01-06,20170106,2017,1,6
2018-09-03,20180903,2018,9,3
2016-09-15,20160915,2016,9,15
2018-09-10,20180910,2018,9,10
2018-10-03,20181003,2018,10,3
2017-01-10,20170110,2017,1,10
2018-09-25,20180925,2018,9,25
2018-09-26,20180926,2018,9,26
2016-12-23,20161223,2016,12,23
2017-01-09,20170109,2017,1,9
2018-09-29,20180929,2018,9,29
2016-10-22,20161022,2016,10,22
2018-10-17,20181017,2018,10,17
2018-10-16,20181016,2018,10,16
2018-09-12,20180912,2018,9,12
2016-10-02,20161002,2016,10,2
2018-10-01,20181001,2018,10,1
2018-08-31,20180831,2018,8,31
